#37-1	N
Guatemalan	C
(MSF)	N
is	N
of	N
50	N
dead	N
.	N

#2-4	N
The	N
BBC	N
estimates	C
at	N
least	N
52	N
dead	N
,	N
while	N
one	N
Borno	N
State	N
official	N
is	N
attributed	C
by	N
AP	N
as	N
saying	N
over	N
100	N
are	N
dead	N
.	N

#2-5	N
MSF	N
say	N
at	N
least	N
200	N
were	N
wounded	C
.	N

#2-6	N
The	N
Red	N
Cross	N
said	N
at	N
least	N
six	N
of	N
its	N
staff	N
died	N
and	N
twelve	N
more	N
injured	C
.	N

#10-23	N
US–Russian	N
relations	C
are	N
also	N
strained	C
.	N

#10-24	N
Last	N
month	N
the	N
US	N
expelled	C
35	N
Russian	N
diplomats	C
accused	C
of	N
espionage	C
,	N
and	N
sanctioned	C
Russian	N
intelligence	N
agencies	C
.	N

#10-25	N
This	N
was	N
in	N
response	N
to	N
a	N
CIA	N
report	N
issued	C
two	N
weeks	N
earlier	N
that	N
concluded	C
the	N
Russian	N
government	N
hacked	C
servers	N
belonging	N
to	N
the	N
U.S	N
.	N
Republican	N
and	N
Democratic	N
parties	C
.	N

#10-26	N
The	N
CIA	N
report	N
said	N
this	N
was	N
to	N
turn	N
the	N
2016	N
presidential	N
election	N
toward	N
president-elect	C
Donald	N
Trump	N
.	N

#10-27	N
Trump	N
has	N
indicated	C
he	N
seeks	N
closer	N
ties	C
with	N
Russia	N
.	N

#10-29	N
""""	N
This	N
is	N
America's	N
most	N
capable	C
fighting	N
force:	N
A	N
combat-ready	C
,	N
highly	N
trained	N
US	N
armoured	C
brigade	C
,	N
with	N
our	N
most	N
advanced	N
equipment	C
and	N
weaponry,	N
""""	N
according	N
to	N
Paul	N
James	N
,	N
US	N
ambassador	C
to	N
Poland	N
.	N

#10-30	N
James	N
,	N
who	N
attended	N
the	N
ceremony	C
,	N
said	N
the	N
troops	N
represent	N
""""	N
America's	N
iron-clad	C
commitment	C
to	N
honor	N
our	N
NATO	N
treaty	N
obligation	C
to	N
defend	N
our	N
NATO	N
allies	N
.	N
""""	N

#15-31	N
Russia	N
has	N
refused	C
to	N
return	N
wreckage	C
,	N
encouraging	C
conspiracy	C
theories	C
about	N
the	N
crash	N
.	N

#15-32	N
In	N
2015	N
Szydło	N
said	N
in	N
response	N
to	N
the	N
vanishing	C
investigatory	C
findings	N
""""	N
the	N
website	N
has	N
been	N
closed	N
and	N
will	N
simply	N
remain	N
closed	N
.	N
""""	N

#15-33	N
In	N
recent	N
months	N
tension	C
has	N
mounted	C
further	N
as	N
Russia	N
deployed	C
missiles	C
to	N
Kalingrad	N
.	N

#15-34	N
The	N
enclave	C
,	N
Russian	N
territory	C
lying	C
between	N
Poland	N
and	N
Lithuania	N
,	N
now	N
has	N
nuclear-capable	C
Iskanders	C
and	N
anti-ship	C
Bastion	N
equipment	C
.	N

#15-35	N
NATO	N
considered	N
these	N
deployments	C
a	N
response	N
to	N
its	N
own	N
.	N

#15-36	N
The	N
US	N
troops	C
are	N
set	N
to	N
rotate	N
around	N
the	N
Balkans	N
every	N
nine	N
months	N
.	N

#15-37	N
Other	N
planned	N
host	C
nations	N
are	N
Estonia	N
,	N
Latvia	N
,	N
Lithuania	N
,	N
Romania	N
,	N
Bulgaria	N
,	N
and	N
Hungary	N
.	N

#15-38	N
The	N
rotation	C
is	N
due	N
to	N
a	N
treaty	C
with	N
Russia	N
preventing	N
permanent	C
deployment	C
to	N
any	N
particular	C
territory	C
.	N

#15-39	N
Russia-US	N
relations	N
face	N
a	N
potential	C
thaw	C
,	N
as	N
President-Elect	N
Donald	N
Trump	N
moves	N
towards	N
office	N
on	N
January	N
20	N
.	N

#24-13	N
According	C
to	N
the	N
resort's	N
manager	N
Mr	N
.	N
Naseem	N
,	N
the	N
bigger	N
pieces	C
of	N
debris	C
and	N
other	N
waste	N
were	N
taken	N
away	N
and	N
disposed	C
of	N
in	N
the	N
usual	N
way	N
.	N

#24-14	N
He	N
added	N
other	N
forms	N
of	N
debris	C
and	N
trash	C
with	N
no	N
value	N
,	N
such	N
as	N
buoys	C
and	N
suspected	C
military	N
waste	N
,	N
wash	N
up	N
on	N
the	N
islands	N
all	N
the	N
time	N
,	N
especially	C
during	N
monsoon	C
season	N
.	N

#24-15	N
Local	N
residents	C
and	N
resort	C
workers	N
regularly	C
collect	N
trash	N
which	N
is	N
sent	N
to	N
the	N
garbage	C
island	N
Thilafushi	C
where	N
it's	N
sorted	C
,	N
exported	C
for	N
recycling	C
,	N
or	N
burned	N
.	N

#24-16	N
Reports	N
say	N
at	N
the	N
time	N
the	N
debris	C
was	N
collected	N
,	N
no	N
one	N
suspected	C
it	N
could	N
be	N
from	N
MH370	N
.	N

#24-17	N
""""	N
Although	N
some	N
of	N
it	N
was	N
taken	N
to	N
Thilafushi	C
,	N
there	N
is	N
still	N
a	N
five	N
or	N
a	N
seven	N
inch	N
piece	N
on	N
the	N
resort	C
.	N

#29-1	N
'Birther	N
King'	N
announces	C
2016	N
campaign	C
for	N
U.S	N
.	N
president	N
Via	N
press	N
release	N
on	N
Friday	N
,	N
Andy	N
Martin	N
,	N
a	N
perennial	C
candidate	C
for	N
political	N
office	N
and	N
self-proclaimed	C
""""	N
Birther	N
"King"""	N
,	N
announced	N
he	N
is	N
seeking	C
the	N
U.S	N
.	N
Republican	N
Party's	N
2016	N
presidential	N
nomination	C
,	N
his	N
fourth	N
bid	C
for	N
the	N
White	N
House	N
.	N

#29-2	N
In	N
his	N
announcement	C
and	N
subsequent	C
release	N
,	N
Martin	N
expresses	C
a	N
desire	N
to	N
participate	C
in	N
Republican	N
presidential	C
debates	C
and	N
aligns	C
himself	N
with	N
fellow	N
Republican	N
presidential	C
candidate	N
Donald	N
Trump	N
.	N

#29-3	N
Additionally	C
,	N
he	N
outlines	C
six	N
reasons	N
for	N
running	N
,	N
including	N
degrading	C
the	N
candidacy	C
of	N
former	N
Florida	N
governor	N
Jeb	N
Bush	N
,	N
who	N
is	N
also	N
seeking	N
the	N
Republican	N
nomination	C
.	N

#29-4	N
""""	N
I	N
have	N
been	N
a	N
loyal	C
Republican,	N
""""	N
says	N
Martin	N
in	N
his	N
announcement	C
,	N
""""	N
loyal	C
to	N
the	N
principles	C
of	N
our	N
party	N
but	N
not	N
necessarily	C
loyal	C
to	N
some	N
of	N
its	N
failed	N
leaders	N
.	N
""""	N

#34-7	N
Yesterday	N
,	N
North	N
Korea	N
fired	N
artillery	C
rounds	N
aimed	C
at	N
a	N
loudspeaker	C
in	N
South	N
Korea	N
that	N
broadcasts	C
anti-Pyongyang	C
propaganda	C
into	N
the	N
North	N
.	N

#34-8	N
""""	N
Commanders	C
of	N
the	N
Korean	N
People's	N
Army	N
were	N
hastily	C
dispatched	C
to	N
the	N
front-line	C
troops	N
to	N
command	N
military	N
operations	N
to	N
destroy	C
psychological	C
warfare	C
tools	N
if	N
the	N
enemy	C
does	N
not	N
stop	N
the	N
propaganda	C
broadcast	N
within	N
48	N
hours	N
and	N
prepare	N
against	N
the	N
enemy's	N
possible	N
counteractions,	N
""""	N
added	N
KCNA	N
.	N

#34-9	N
No	N
injuries	C
or	N
deaths	N
were	N
reported	N
in	N
the	N
attacks	C
from	N
either	N
side	N
,	N
but	N
South	N
Korea	N
evacuated	C
about	N
80	N
people	N
in	N
the	N
town	N
of	N
Yeoncheon	C
after	N
at	N
least	N
one	N
shell	C
landed	C
near	N
the	N
area	N
.	N

#34-10	N
The	N
South	N
retaliated	C
by	N
firing	N
dozens	N
of	N
rounds	N
of	N
artillery	C
into	N
the	N
north	N
.	N

#34-11	N
South	N
Korea	N
had	N
recently	N
started	N
to	N
broadcast	C
propaganda	C
from	N
loudspeakers	C
after	N
an	N
11-year	N
lull	C
.	N

#35-37	N
Mr	N
Justice	N
Green	N
also	N
ruled	C
the	N
pair	N
,	N
in	N
principal	C
,	N
""""	N
have	N
a	N
perfectly	C
proper	C
right	N
to	N
seek	N
access	C
to	N
the	N
personal	N
data	N
for	N
the	N
purpose	C
of	N
using	N
it	N
subsequently	C
in	N
their	N
defence	C
in	N
criminal	C
"proceedings"""	N
,	N
calling	N
the	N
case	N
one	N
about	N
""""	N
fundamental	C
"rights"""	N
.	N

#35-38	N
Rosa	N
Curling	N
,	N
who	N
represented	C
both	N
men	N
in	N
the	N
London	N
court	N
,	N
has	N
said	N
they	N
would	N
not	N
appeal	C
.	N

#35-39	N
She	N
said	N
Lin	N
and	N
Phyo	N
are	N
"""disappointed"	N
""""	N
but	N
""""	N
are	N
reassured	C
that	N
at	N
least	N
a	N
British	N
judge	N
has	N
now	N
looked	N
at	N
the	N
information	C
held	N
by	N
the	N
Metropolitan	C
Police	N
,	N
applying	N
anxious	C
scrutiny	C
,	N
and	N
determined	C
that	N
it	N
would	N
not	N
assist	N
them	N
in	N
their	N
ongoing	C
proceedings	C
in	N
Thailand	N
.	N
""""	N

#35-40	N
Wikinews	N
has	N
contacted	C
the	N
Metropolitan	C
Police	N
,	N
usually	N
responsible	C
for	N
policing	C
London	N
,	N
for	N
a	N
statement	N
and	N
is	N
awaiting	C
a	N
response	C
.	N

#1-11	N
Next	N
week	N
,	N
on	N
January	N
24	N
,	N
the	N
Supreme	N
Court	N
is	N
due	C
to	N
deliver	C
a	N
decision	C
in	N
a	N
case	N
challenging	C
the	N
government's	N
right	N
to	N
issue	C
Article	C
50—which	N
starts	N
the	N
Brexit	C
negotiations—without	N
the	N
consultation	C
of	N
Parliament	C
.	N

#10-1	N
Polish	N
PM	N
Beata	N
Szydło	N
welcomes	N
US	N
troops	C
Polish	N
Prime	N
Minister	N
Beata	N
Szydło	N
on	N
Saturday	N
headed	C
a	N
ceremony	C
in	N
the	N
Western	N
town	N
of	N
Żagań	N
welcoming	N
US	N
troops	C
.	N

#10-2	N
The	N
troops	N
are	N
in	N
the	N
region	N
in	N
response	C
to	N
Russian	N
action	N
in	N
Ukraine	N
and	N
began	N
arriving	N
earlier	N
this	N
week	N
.	N

#10-4	N
""""	N
It	N
is	N
the	N
duty	C
of	N
the	N
Polish	N
state	N
,	N
the	N
government	C
to	N
provide	N
security	C
.	N

#10-5	N
Today	N
we	N
have	N
made	N
a	N
big	N
step	N
in	N
this	N
"direction"""	N
.	N

#10-6	N
Outgoing	C
US	N
President	N
Barack	N
Obama	N
authorised	C
the	N
move	N
in	N
response	N
to	N
Russian	N
intervention	C
in	N
Ukraine	N
in	N
2014	N
,	N
in	N
which	N
Crimea	N
was	N
annexed	C
.	N

#37-9	N
The	N
Social	C
and	N
Popular	N
Assembly	C
,	N
formed	N
during	N
protests	C
in	N
recent	C
months	N
,	N
allege	C
violations	C
of	N
electoral	C
law	N
by	N
many	N
parties	N
,	N
and	N
want	N
an	N
electoral	C
commission	C
crackdown	C
.	N

#37-10	N
One	N
member	N
organisation	C
,	N
the	N
Committee	N
for	N
Campesino	C
Unity	N
,	N
wants	N
a	N
delay	C
until	N
elections	N
are	N
reformed	C
.	N

#37-11	N
They	N
also	N
seek	N
a	N
new	N
constitution	C
.	N

#37-12	N
Molina	N
is	N
accused	C
of	N
conspiring	C
to	N
corruptly	C
divert	C
customs	N
funds	N
.	N

#37-13	N
He	N
denies	C
any	N
misconduct	C
.	N

#38-1	N
Virginia	N
reporter	N
,	N
cameraman	N
killed	N
on	N
live	N
TV	N
,	N
alleged	C
shooter	N
commits	C
suicide	C
Two	N
members	N
of	N
a	N
news	N
crew	C
for	N
Roanoke	N
,	N
Virginia	N
station	N
WDBJ	N
were	N
shot	N
and	N
killed	N
on	N
live	N
television	N
this	N
morning	N
.	N

#38-2	N
The	N
suspect	C
,	N
a	N
former	N
reporter	N
for	N
the	N
news	N
station	N
,	N
later	N
shot	N
himself	N
after	N
a	N
manhunt	C
of	N
several	N
hours	N
,	N
authorities	C
said	N
.	N

#38-3	N
Reporter	N
Alison	N
Parker	N
,	N
24	N
,	N
and	N
cameraman	N
Adam	N
Ward	N
,	N
27	N
,	N
were	N
conducting	C
an	N
interview	N
at	N
a	N
local	N
outdoor	N
shopping	N
mall	N
when	N
a	N
gunman	C
opened	N
fire	N
at	N
approximately	C
6:45	N
AM	N
local	N
time	N
(1045	N
UTC)	N
.	N

#40-10	N
They	N
feel	N
they	N
are	N
under-represented	C
in	N
higher	N
education	C
and	N
are	N
suffering	C
in	N
a	N
regional	C
economic	C
downturn	C
.	N

#40-11	N
Amongst	C
those	N
calling	N
for	N
an	N
end	N
to	N
the	N
violence	C
was	N
Prime	N
Minister	N
Narendra	N
Modi	N
,	N
who	N
said	N
""""	N
each	N
and	N
every	N
issue	N
can	N
be	N
resolved	C
through	N
talks	N
""""	N
during	N
a	N
televised	C
broadcast	C
.	N

#40-12	N
He	N
was	N
elected	N
last	N
year	N
and	N
was	N
previously	C
the	N
Chief	N
Minister	N
of	N
Gujarat	N
for	N
more	N
than	N
twelve	N
years	N
.	N

#40-13	N
He	N
was	N
in	N
power	N
in	N
Gujurat	N
during	N
sectarian	C
violence	C
in	N
2002	N
which	N
resulted	C
in	N
about	N
a	N
thousand	C
deaths	N
.	N

#41-1	N
Four	N
men	N
go	N
before	N
Hungarian	N
court	N
after	N
71	N
found	N
dead	N
in	N
lorry	C
To	N
write	N
,	N
edit	N
,	N
start	N
or	N
view	N
other	N
articles	C
on	N
Austria	N
,	N
see	N
the	N
Austria	N
Portal	C
Four	N
foreign	C
men	N
have	N
today	N
gone	N
before	N
a	N
court	N
in	N
Hungary	N
on	N
suspicion	C
of	N
people	N
smuggling	C
.	N

#30-18	N
The	N
part	N
of	N
the	N
law	N
which	N
prohibits	C
""""	N
the	N
unauthorized	C
use	N
of	N
images	N
of	N
police	N
officers	N
that	N
might	N
jeopardize	C
their	N
or	N
their	N
family's	N
safety	N
""""	N
is	N
cited	C
as	N
the	N
reason	N
for	N
the	N
fine	N
,	N
however	N
,	N
police	N
spokesperson	C
Fernando	N
Portillo	N
said	N
it	N
was	N
up	N
to	N
police	N
officers	N
involved	C
and	N
under	N
the	N
new	N
law	N
they	N
could	N
do	N
this	N
.	N

#30-19	N
""""	N
We	N
would	N
have	N
preferred	C
a	N
different	N
solution	C
but	N
they	N
have	N
the	N
legal	C
right	N
to	N
impose	C
the	N
fine,”	N
Portillo	N
said	N
,	N
but	N
the	N
public	N
posting	N
of	N
the	N
photo	N
impugned	C
the	N
officers'	N
sense	N
of	N
honor	N
.	N

#31-1	N
Explosion	C
in	N
central	N
Bangkok:	N
Thailand	N
to	N
hunt	C
those	N
responsible	C
Thai	N
authorities	C
are	N
searching	N
for	N
a	N
man	N
wearing	N
a	N
yellow	N
T-shirt	N
,	N
recorded	N
on	N
video	N
leaving	N
a	N
backpack	C
shortly	N
before	N
a	N
pipe-bomb	C
exploded	C
two	N
days	N
ago	N
near	N
Erawan	N
Hindu	N
Shrine	C
,	N
Bangkok	N
.	N

#22-3	N
Abdul	N
Kalam	N
was	N
taken	N
to	N
Bethany	C
Hospital's	N
intensive	C
care	N
unit	N
and	N
was	N
declared	C
dead	N
about	N
an	N
hour	N
and	N
a	N
half	N
later	N
.	N

#22-5	N
According	N
to	N
doctors	N
at	N
Bethany	C
Hospital	N
,	N
Kalam	N
was	N
dead	N
by	N
7	N
p.m	N
.	N
but	N
they	N
waited	N
for	N
the	N
arrival	C
of	N
Meghalaya	C
chief	N
minister	C
V	N
.	N
Shanmuganathan	C
,	N
about	N
an	N
hour	N
later	N
,	N
before	N
announcing	C
the	N
death	N
.	N

#22-6	N
LC	N
Goyal	N
,	N
home	N
secretary	N
,	N
said	N
the	N
Indian	N
government	N
will	N
declare	C
a	N
seven	N
day	N
national	N
mourning	C
for	N
Kalam	N
.	N

#22-7	N
Home	N
minister	N
Rajnath	N
Singh	N
tweeted	C
,	N
""""	N
He	N
was	N
an	N
inspiration	C
to	N
an	N
entire	N
generation	C
.	N
""""	N

#22-8	N
Kalam's	N
presidential	C
term	N
completed	C
in	N
July	N
2007	N
.	N

#23-1	N
U.S	N
.	N
presidential	C
candidate	C
Mark	N
Everson	N
challenges	C
debate	C
exclusion	C
U.S	N
.	N
Republican	C
Party	N
presidential	C
candidate	C
Mark	N
Everson	N
,	N
former	N
commissioner	C
of	N
the	N
Internal	N
Revenue	C
Service	N
(IRS)	N
,	N
filed	C
a	N
complaint	C
on	N
Monday	N
with	N
the	N
Federal	N
Election	C
Commission	N
(FEC)	N
to	N
challenge	C
his	N
exclusion	C
from	N
Thursday's	N
first	N
Fox	N
News	N
Republican	C
Party	N
presidential	C
debate	C
.	N

#23-6	N
Fox	N
News	N
claims	C
Everson	N
fails	N
to	N
meet	N
the	N
criteria	C
it	N
established	C
for	N
Thursday's	N
two	N
debates	C
.	N

#23-7	N
Only	N
seventeen	N
candidates	C
meet	N
the	N
criteria	C
,	N
which	N
require	N
a	N
candidate	N
"""consistently"	N
""""	N
be	N
included	N
in	N
"""recognized"	N
""""	N
opinion	C
polls	C
.	N

#23-8	N
The	N
prime-time	C
event	N
features	C
the	N
top	N
ten	N
candidates	N
by	N
average	C
polling	C
percentage	C
.	N

#23-9	N
The	N
other	N
seven	N
participate	C
in	N
a	N
separate	C
debate	C
just	N
before	N
the	N
prime	N
time	N
event	N
.	N

#23-10	N
In	N
his	N
complaint	C
,	N
Everson	N
urges	C
the	N
FEC	N
to	N
compel	C
Fox	N
News	N
to	N
include	N
him	N
in	N
the	N
second	N
tier	C
debate	N
as	N
the	N
eighth	N
participant	C
.	N

#23-11	N
Everson	N
argues	C
Fox	N
News	N
,	N
in	N
violation	C
of	N
Title	N
11	N
,	N
""""	N
structure[d]	N
the	N
debates	N
to	N
promote	N
or	N
advance	N
one	N
candidate	C
over	N
another	N
""""	N
through	N
a	N
July	N
27	N
change	N
to	N
its	N
criteria	C
that	N
replaced	N
a	N
pre-existing	C
one	N
percent	N
polling	N
threshold	C
with	N
a	N
threshold	C
admitting	N
those	N
"""consistently"	N
""""	N
included	N
in	N
"""recognized"	N
""""	N
polls	N
.	N

#1-1	N
Theresa	N
May's	N
Brexit	C
speech	N
rules	N
out	N
single	N
market	N
membership	C
UK	N
Prime	N
Minister	N
Theresa	N
May	N
yesterday	N
announced	C
the	N
government's	N
plans	N
for	N
how	N
to	N
proceed	C
with	N
the	N
United	N
Kingdom's	N
exit	N
,	N
or	N
"""Brexit"	N
""""	N
(British	N
exit)	N
,	N
from	N
the	N
European	N
Union	N
.	N

#1-2	N
May	N
stated	C
the	N
government	C
would	N
not	N
seek	C
to	N
be	N
a	N
member	N
of	N
the	N
European	N
single	N
market	N
and	N
would	N
instead	C
seek	C
a	N
new	N
trade	C
relationship	C
.	N

#1-3	N
May	N
said	N
the	N
UK	N
government	N
would	N
seek	C
access	C
to	N
the	N
single	N
market	N
without	N
retaining	C
formal	N
membership	C
in	N
it	N
.	N

#1-4	N
May's	N
speech	N
stressed	C
the	N
need	N
for	N
friendliness	C
between	N
Britain	N
and	N
the	N
EU	C
but	N
also	N
ruled	N
out	N
any	N
deal	N
that	N
did	N
not	N
allow	N
the	N
British	N
government	N
to	N
control	N
immigration	C
,	N
or	N
which	N
would	N
require	N
Britain	N
to	N
continue	N
being	N
bound	C
by	N
decisions	C
of	N
the	N
European	C
Court	C
of	N
Justice	C
.	N

#29-15	N
In	N
addition	N
to	N
preventing	C
Bush	N
from	N
gaining	C
the	N
Republican	N
nomination	C
,	N
Martin	N
intends	C
to	N
focus	C
his	N
campaign	C
on	N
protecting	N
the	N
prestige	C
of	N
the	N
New	N
Hampshire	C
Primary	C
and	N
Iowa	N
Caucus	C
,	N
defending	N
the	N
economic	N
legacy	C
of	N
Founding	N
Father	N
Alexander	N
Hamilton	N
,	N
combating	C
political	C
correctness	C
,	N
emphasizing	C
U.S	N
.	N
relations	C
with	N
Greece	N
,	N
and	N
fighting	N
political	C
corruption	C
.	N

#29-16	N
Martin	N
filed	N
paperwork	C
with	N
the	N
Federal	C
Election	N
Commission	N
last	N
month	N
to	N
run	N
for	N
president	N
in	N
2016	N
officially	C
.	N

#29-17	N
He	N
joins	N
139	N
other	N
Republican	N
Party	N
presidential	C
candidates	N
who	N
have	N
done	N
likewise	C
.	N

#3-1	N
Rape-accused	C
Russian	N
political	N
artist	N
Pyotr	N
Pavlensky	N
to	N
seek	N
asylum	C
in	N
France	N
On	N
Monday	N
,	N
controversial	C
Russian	N
political	N
artist	N
Pyotr	N
Pavlensky	N
,	N
currently	N
in	N
Paris	N
,	N
informed	N
media	N
that	N
he	N
and	N
his	N
family	N
are	N
to	N
seek	N
political	N
asylum	C
in	N
France	N
.	N

#3-2	N
Pavlensky	N
said	N
he	N
and	N
his	N
partner	N
Oksana	N
Shalygina	N
were	N
falsely	C
accused	C
under	N
Section	N
132	N
of	N
the	N
Criminal	C
law	N
for	N
rape	C
.	N

#15-16	N
Russian	N
Presidential	C
spokesperson	C
Dmitry	N
Peskov	N
echoed	C
Putin	N
,	N
saying	N
the	N
troops	C
are	N
""""	N
a	N
threat	C
.	N

#15-17	N
These	N
actions	N
threaten	C
our	N
interests	N
,	N
our	N
security	N
.	N

#15-18	N
Especially	C
as	N
it	N
concerns	C
a	N
third	N
party	N
building	N
up	N
its	N
military	C
presence	C
near	N
our	N
borders	C
.	N

#15-20	N
Ties	C
between	N
Russia	N
and	N
the	N
US	N
are	N
strained	C
.	N

#15-21	N
Last	N
month	N
the	N
US	N
expelled	C
35	N
Russian	N
diplomats	C
accused	C
of	N
espionage	C
,	N
and	N
sanctioned	C
Russian	N
intelligence	C
agencies	N
.	N

#15-22	N
This	N
was	N
in	N
response	N
to	N
a	N
CIA	N
report	N
issued	N
two	N
weeks	N
earlier	N
that	N
concluded	N
the	N
Russian	N
government	N
hacked	C
servers	C
belonging	N
to	N
the	N
U.S	N
.	N
Republican	C
and	N
Democratic	N
parties	N
.	N

#15-23	N
The	N
CIA	N
report	N
said	N
this	N
was	N
to	N
turn	N
the	N
2016	N
presidential	N
election	N
toward	N
president-elect	C
Donald	N
Trump	N
.	N

#15-24	N
Since	N
Szydło	C
took	N
office	N
in	N
2015	N
,	N
Poland	N
has	N
also	N
suffered	C
a	N
decline	C
in	N
relations	N
with	N
Russia	N
.	N

#17-9	N
[...]	N
Of	N
course	N
,	N
the	N
opinion’s	C
showy	C
profundities	C
are	N
often	N
profoundly	C
incoherent	C
.	N
""""	N

#17-10	N
When	N
the	N
decision	C
was	N
made	N
,	N
police	N
allowed	N
people	N
outside	N
the	N
court	N
to	N
wave	N
the	N
rainbow	N
flag	N
on	N
the	N
court	N
plaza	N
.	N

#17-11	N
Demonstrators	C
outside	N
the	N
court	N
chanted	C
""""	N
Love	N
has	N
"won"""	N
.	N

#17-12	N
This	N
decision	N
made	N
the	N
United	N
States	N
the	N
21st	N
country	N
to	N
legalise	C
same-sex	N
marriage	N
.	N

#17-13	N
President	N
Barack	N
Obama	N
responded	C
to	N
the	N
decision:	N
""""	N
Today	N
we	N
can	N
say	N
,	N
in	N
no	N
uncertain	C
terms	N
,	N
that	N
we	N
have	N
made	N
our	N
union	C
a	N
little	N
more	N
perfect	N
.	N
""""	N

#17-14	N
After	N
this	N
decision	N
,	N
Facebook	N
introduced	C
a	N
new	N
tool	N
to	N
add	N
rainbow	N
coloring	N
to	N
one's	N
profile	C
picture	N
to	N
celebrate	N
this	N
victory	C
.	N

#17-15	N
Mark	N
Zuckerberg	N
posted	N
on	N
Facebook	N
""""	N
I'm	N
so	N
happy	N
for	N
all	N
of	N
my	N
friends	N
and	N
everyone	N
in	N
our	N
community	C
who	N
can	N
finally	N
celebrate	N
their	N
love	N
and	N
be	N
recognized	C
as	N
equal	N
couples	N
under	N
the	N
"law"""	N
.	N

#23-2	N
Everson	N
argues	C
his	N
exclusion	C
violates	C
Title	N
11	N
of	N
the	N
U.S	N
.	N
Code	N
of	N
Federal	C
Regulations	C
in	N
that	N
debate	C
hosts	N
must	N
not	N
""""	N
structure	C
the	N
debates	C
to	N
promote	C
or	N
advance	C
one	N
candidate	C
over	N
"another"""	N
,	N
and	N
must	N
""""	N
use	N
pre-established	C
objective	C
criteria	C
to	N
determine	C
which	N
candidates	C
may	N
participate	C
in	N
a	N
debate	C
.	N
""""	N

#23-3	N
Everson	N
served	N
as	N
Commissioner	C
of	N
the	N
IRS	C
from	N
2003	N
to	N
2007	N
,	N
during	N
the	N
George	N
W	N
.	N
Bush	N
administration	C
.	N

#23-4	N
After	N
his	N
departure	C
,	N
he	N
briefly	N
served	N
as	N
CEO	N
of	N
the	N
American	N
Red	N
Cross	N
,	N
worked	N
in	N
the	N
cabinet	C
of	N
Indiana	N
governor	C
Mitch	N
Daniels	N
,	N
and	N
worked	N
for	N
the	N
tax	N
consulting	C
firm	C
alliantgroup	C
.	N

#23-5	N
He	N
announced	C
his	N
candidacy	C
this	N
past	N
March	N
with	N
a	N
sixteen-page	N
open	N
letter	N
in	N
which	N
he	N
outlined	C
the	N
six	N
pillars	C
of	N
his	N
campaign:	N
amnesty	C
for	N
illegal	N
immigrants	C
,	N
reinstatement	C
of	N
the	N
military	N
draft	C
,	N
a	N
promise	N
to	N
serve	N
only	N
a	N
single	N
presidential	N
term	N
,	N
and	N
calls	N
for	N
tax	N
reform	C
,	N
deficit	C
reduction	N
,	N
and	N
corporate	C
responsibility	C
.	N

#31-2	N
The	N
shrine	C
is	N
a	N
popular	N
attraction	C
in	N
Thailand's	N
capital	N
,	N
where	N
at	N
least	N
20	N
people	N
,	N
including	C
at	N
least	N
eight	N
foreigners	C
,	N
are	N
reported	C
dead	N
with	N
upwards	C
of	N
100	N
injured	C
.	N

#31-3	N
The	N
blast	C
occurred	C
at	N
approximately	C
7pm	N
on	N
Monday	N
local	N
time	N
(1200	N
UTC)	N
,	N
when	N
central	N
Bangkok	C
was	N
flooded	C
with	N
pedestrian	C
activity	N
.	N

#31-4	N
Authorities	C
say	N
the	N
suspect	C
may	N
have	N
already	N
left	N
Thailand	N
and	N
was	N
assisted	N
by	N
others	N
.	N

#31-5	N
Following	N
months	N
of	N
political	N
unrest	C
,	N
since	N
the	N
explosion	C
the	N
Thai	N
baht	C
hit	N
a	N
six	N
year	N
low	N
.	N

#31-6	N
According	N
to	N
Defence	C
Minister	N
Prawit	N
Wonguwan	N
speaking	N
to	N
Reuters	C
,	N
the	N
bombing	N
was	N
a	N
deliberate	C
attack	N
on	N
the	N
country's	N
economy	C
and	N
tourism	C
industry	N
.	N

#31-7	N
Military	N
authorities	C
said	N
Muslim	N
insurgents	C
from	N
the	N
country's	N
southern	N
provinces	C
are	N
unlikely	N
to	N
be	N
behind	N
the	N
attack	N
.	N

#32-1	N
Wikinews	C
interviews	N
Mark	N
Everson	N
,	N
U.S	N
.	N
Republican	C
Party	N
presidential	N
candidate	C
Former	N
U.S	N
.	N
Commissioner	N
of	N
Internal	N
Revenue	C
Mark	N
Everson	N
took	N
some	N
time	N
to	N
talk	N
with	N
Wikinews	C
about	N
his	N
campaign	C
for	N
the	N
U.S	N
.	N
Republican	C
Party's	N
2016	N
presidential	N
nomination	C
.	N

#9-22	N
The	N
Amazonas	N
prison	C
riot	C
on	N
January	N
1–2	N
resulted	N
in	N
at	N
least	N
56	N
killed	N
inmates	C
,	N
of	N
whom	C
many	N
were	N
beheaded	C
and	N
dismembered	C
.	N

#9-23	N
The	N
Roraima	C
riot	C
on	N
January	N
6	N
resulted	N
in	N
at	N
least	N
33	N
killed	N
,	N
of	N
whom	N
many	N
were	N
disembowelled	C
.	N

#9-24	N
In	N
the	N
wake	C
of	N
this	N
year's	N
riots	C
,	N
the	N
Brazilian	N
President	N
Michel	N
Temer	N
announced	N
to	N
Reuters	N
yesterday	N
a	N
